name,osm_id,latitude,longitude,accessible
Bretagne,{1883637798},48.7681563,2.3680137,True
ROGER SEMAT,{1616873768},48.9448473,2.3570159,True
Gare de Saint-Denis RER,{317531418},48.9360352,2.3461736,False
Gare Montparnasse 3 - Vaugirard,{942695829},48.8385604,2.3159707,False
Botzaris,{1997722983},48.8795817,2.3886032,False
Rue de la Pompe,{260767423},48.8640063,2.2780859,False
Pierrefitte - Stains,{3580040424},48.9639828,2.3722755,False
LES FAUVELLES,{2004497217},48.9027775,2.239542,True
Carrefour Pleyel,{313430306},48.9196049,2.3429933,False
MARYSE BASTIE,{2799009849},48.8243651,2.3776873,True
GARE DE SCEAUX,{166004551},48.781462,2.2974368,True
Couilly - Saint-Germain - Quincy,{1356735384},48.8830205,2.854057,False
Franklin D. Roosevelt,{27362251},48.8689234,2.3098108,False
Athis-Mons,{3484229325},48.712617,2.4036055,False
Porte de Saint-Ouen,{265060832},48.8973715,2.3289008,False
GARE D'EMERAINVILLE PONTAULT COMBAULT,{237931216},48.8061102,2.6184322,True
Herblay,{643430083},48.9902611,2.1619019,False
MONTSOURIS,{1773529788},48.8214912,2.3334117,True
GARE D'ERMONT EAUBONNE,{1903641987},48.980552,2.271356,True
Bagneaux-sur-Loing,{649772589},48.2304802,2.7033327,False
PETIT NOISY,{2285335350},48.9006193,2.4657332,True
Saint-Ambroise,{256895609},48.8610516,2.3747956,False
GARE DE ST DENIS,{2507487838},48.935061,2.3454394,True
Magny-en-Vexin,{2281465764},49.1595295,1.7930639,False
Héricy,{168753196},48.4424848,2.7605339,False
Méry sur Oise,{130206771},49.0577007,2.1910149,False
Vaires - Torcy,{3492939682},48.8751766,2.6376671,False
GARE DU NORD,{327613695},48.8808851,2.3573548,True
Boissise-le-Roi,{3390297768},48.5294351,2.5728421,False
Louis Blanc,{264775552},48.8813931,2.3656341,False
Bel-Air,{245455187},48.8413343,2.4008998,False
BUTTE PINSON,{1616874035},48.9736206,2.3660968,True
Marcel Sembat,{29588070},48.8336468,2.2435931,False
Mortcerf,{3530858969},48.7892191,2.9075554,False
Les Mureaux,{26742431},48.9924991,1.9132788,False
Gare d'Austerlitz,{3493828793},48.8423727,2.3656105,False
GARE ST LAZARE,{3533789791},48.87653,2.3252374,True
HELENE BOUCHER (ORLYTECH),{1883637801},48.7399463,2.3600613,True
Issy Val de Seine,{255687197},48.829592,2.2629779,True
Bois-le- Roi,{299810175},48.4755692,2.691948,False
CHEMIN DES RENIERS,{670512940},48.934591,2.3215237,True
PORTE D'ORLEANS,{220289379},48.8229245,2.3256357,True
Gare de Saint-Rémy-Lès-Chevreuse,{3530901974},48.7027301,2.0709126,True
Livry-sur-Seine,{168753082},48.5104579,2.6788796,False
Invalides,"{154788912, 1489806675, 264473695}",48.8628322,2.3138836,False
Pontoise,{2355666876},49.0467275,2.0951961,False
Chemin d'Antony,{3491814393},48.748143,2.3126207,False
Marcadet - Poissonniers,{1481147746},48.8915918,2.34967,False
Boulogne - Jean Jaurès,{264539964},48.8420002,2.2387333,False
PORTE D'ITALIE,{268467559},48.8191044,2.359701,True
Coulommiers,{1507332950},48.8077759,3.0821057,False
GARE DE MASSY PALAISEAU,{3555785349},48.7259781,2.2582963,True
Tacoignières - Richebourg,{3571566399},48.8294125,1.6689705,False
GARE DE POISSY,{26742679},48.9333161,2.0412201,True
Petit Jouy - Les Loges,{3497428793},48.771715,2.1470684,False
Marx Dormoy,{249335596},48.8905035,2.3598783,False
Bir-Hakeim,{338930214},48.8538982,2.2893959,False
Mouton-Duvernet,{220289385},48.8314103,2.3301279,False
MADELEINE,{264117312},48.8693906,2.3253852,True
Belloy-en-France - Saint-Martin-du-Tertre,{3533567366},49.0981066,2.3610627,False
Lizy-sur-Ourcq,{3533393415},49.0217902,3.0317956,False
Malakoff - Plateau de Vanves,{264717964},48.8225032,2.2984833,False
Croix de Chavaux,{255160720},48.857946,2.4357587,False
Robespierre,{256442845},48.8558145,2.4237108,False
Raspail,{220289389},48.8389167,2.3308053,False
VICTOR BASCH,{1616972582},48.9139284,2.2297142,True
Plaisir - Grignon,{206234964},48.8318511,1.9431974,False
Colonel Fabien,{243493916},48.8771779,2.3711152,False
GARE DE BOUFFEMONT MOISSELLES,{2513105223},49.0454398,2.3228306,True
Dugommier,{260762378},48.8389924,2.3896778,False
Taverny,{3571559293},49.0252507,2.2217049,False
Saint-Leu-la-Forêt,{415554481},49.015516,2.2425412,False
Pierre et Marie Curie,{472985885},48.8159011,2.3773455,False
Chars,{1910752704},49.1625154,1.9369407,False
Ledru-Rollin,{264480784},48.8511945,2.3759944,False
Rue des Boulets,{256443205},48.8525808,2.3887914,False
GARE DE BAGNEUX,{3328627275},48.7932411,2.3210038,True
GARE DE LA COURNEUVE AUBERVILLIERS,{327647338},48.9244564,2.386533,True
Parc des Expositions,{3580362707},48.9734231,2.5143675,False
Savigny-le-Temple - Nandy,{475552824},48.5955618,2.5839163,False
Porte de Versailles,{134305192},48.8326135,2.2884024,True
Châtillon Montrouge,{12388528},48.810815,2.3016518,True
Ponthierry Pringy,{248668008},48.5349663,2.5450384,False
Nanterre Université SNCF,{829658160},48.9016104,2.2149357,False
Jacques Bonsergent,{251387813},48.8710829,2.3606594,False
Fantasyland Station,{258856870},48.8746234,2.7735731,False
Crouy-sur-Ourcq,{3493845293},49.0917602,3.0631106,False
JEAN ROSTAND,{2285335368},48.9078496,2.4543566,True
GARE DE LA PLAINE STADE DE FRANCE,{317523448},48.9182399,2.3624012,True
Parmentier,{243507790},48.8653892,2.3739085,False
Les Ardoines,{1769544702},48.7829308,2.4090445,False
GARE DE BUSSY ST GEORGES,{3530856300},48.8366482,2.7098771,True
GARE DE VAL D EUROPE,{1059567460},48.8555432,2.7736418,True
Michel-Ange - Auteuil,{260767427},48.8480038,2.2641872,False
Avenue Henri Martin,{3493828593},48.8644077,2.272238,False
Bougival,{2504455992},48.8541856,2.1320976,False
LAMARTINE,{1883637818},48.7836685,2.3670905,True
MUSEE DE SEVRES,{27372996},48.8287506,2.2253263,True
Laumière,{264772256},48.8850187,2.3795672,False
Gravigny-Balizy,{3491814593},48.6853911,2.3177995,False
Brunoy,{575955254},48.6990338,2.5066895,False
GARE D'AULNAY SOUS BOIS,{15256281},48.9322068,2.4950402,True
PORTE D'AUBERVILLIERS,{2799009857},48.898598,2.3690499,True
Liège,{331514770},48.8795976,2.3270787,False
Marolles-en-Hurepoix,{3484287065},48.5651268,2.2909455,False
Bréval,{703457519},48.9434591,1.54176,False
GARE DU VESINET LE PECQ,{286909340},48.8982337,2.121941,True
Alma-Marceau,{260769132},48.8649686,2.3006256,False
Le Kremlin-Bicêtre,{318537042},48.810328,2.3622359,False
GARE D'EPINAY SUR SEINE,{2671357416},48.9558012,2.3016789,True
Mormant,{1235711698},48.6136592,2.8889299,False
HAUSSMANN ST LAZARE,{329974475},48.8747218,2.3271274,True
Mairie des Lilas,{264795933},48.8798096,2.4170873,False
Passy,{260765390},48.8573825,2.2859234,False
GARE DU VAL D'OR,{2504455995},48.8567128,2.2165482,True
Chardon Lagache,{264537727},48.845267,2.2672606,False
Corvisart,{235370505},48.8297785,2.3504704,False
Gallieni,{243507233},48.8652545,2.4166605,False
Bobigny - Pablo Picasso,{1771632724},48.9064052,2.4491919,True
Ménerville,{1625785887},48.966513,1.6009476,False
CITE UNIVERSITAIRE,{2656855599},48.8205877,2.3390071,True
Cité Universitaire,{1773529787},48.8203321,2.3386615,True
SURESNES - LONGCHAMP,{318535794},48.8682976,2.221418,True
Survilliers - Fosses,{331938436},49.0995663,2.5255044,False
MEUDON SUR SEINE,{210545408},48.8191867,2.2391994,True
Longjumeau,{3491814395},48.7021485,2.2944841,False
GARE DE CRETEIL POMPADOUR,{3496469996},48.7715403,2.4352763,True
Éragny - Neuville-sur-Oise,{392511580},49.0180904,2.0906339,False
Pont Neuf,{264784170},48.8585643,2.3425634,False
Longueville,{3530709630},48.5134785,3.2504017,False
GARE DE BLANC MESNIL,{331997723},48.9323764,2.4773723,True
GARE DU GUICHET,{152529245},48.7049445,2.1917178,True
GARE DE LYON,{26824135},48.8448369,2.3734794,True
MONTEMPOIVRE,{1958615136},48.8398338,2.4088667,True
Faidherbe — Chaligny,{264481019},48.8500259,2.3842705,False
Montgeroult - Courcelles,{3580917693},49.0805828,2.0034959,False
Maisons-Alfort — Les Juilliottes,{300870034},48.8024711,2.4466949,False
Villejuif-Louis Aragon,{318536848},48.7869402,2.3673857,True
Neuilly - Porte Maillot,{3580789992},48.8780667,2.2846161,False
République,{3197007911},48.8676132,2.3637961,False
Juvisy-sur-Orge,{3484229326},48.6901705,2.3837241,False
Saint-Denis - Porte de Paris,{2671553022},48.9298329,2.3573312,False
Notre-Dame de Lorette,{264495078},48.8760654,2.3385532,False
Beynes,{699691240},48.8593963,1.8757748,False
GARE MONTPARNASSE,{65331500},48.8400624,2.3191085,True
Gabriel Péri,{249524554},48.9162246,2.2948689,False
GARE DE LA HACQUINIERE,{246806932},48.6949696,2.1526331,True
Sèvres - Rive Gauche,{3530939200},48.8212245,2.2149014,False
Luxembourg,{327432589},48.84638,2.3402926,False
Choisy-le-Roi,{1573489397},48.7643737,2.4112139,False
REMISE A JORELLE,{475659184},48.8931,2.4877773,True
Mennecy,{409099263},48.5710339,2.433119,False
Épinay-sur-Orge,{3484229331},48.6693334,2.3318791,False
Libération,{317494454},48.9069335,2.4385726,True
Achères-Grand Cormier,{26742385},48.9552489,2.09262,False
LA DEFENSE,{3586000197},48.8930846,2.2376319,True
Fort d'Aubervilliers,{270244435},48.9142573,2.4038072,False
Avenue Foch,{3493828493},48.870971,2.2756167,False
GARE DE BOISSY ST LEGER,{1789920402},48.7530368,2.5052633,True
GARE DE MARNE LA VALLEE CHESSY,{269296749},48.8702676,2.7829566,True
Ermont Halte,{415554210},48.9899263,2.2634012,False
MARIE DE MIRIBEL,{2799009845},48.8587125,2.409689,True
GARE DE RAMBOUILLET,{3533697024},48.6437409,1.8321116,True
Odéon,{260079008},48.8522912,2.3393735,False
Rue du Bac,{264495553},48.8557241,2.3256659,False
Censier - Daubenton,{264789025},48.8406473,2.3519334,False
GARE DE LUZARCHES,{415313667},49.117305,2.4205557,True
Assemblée Nationale,{263497271},48.860697,2.3210551,False
Changis Saint-Jean,{27507428},48.959166,3.0252459,False
Anvers,{3417692493},48.8828803,2.3442565,False
La Frette Montigny,{440340397},48.9802826,2.1799847,False
Viry-Châtillon,{3546693395},48.6762115,2.3866258,False
Iéna,{260767422},48.8646725,2.2937783,False
GARE DE NOISIEL,{299462418},48.8434831,2.6163935,True
Malakoff - Rue Étienne Dolet,{12388534},48.8153367,2.2970255,False
PLACE DE LA LOGISTIQUE (PLATEFORME SOGARIS),{1806109260},48.7523925,2.3610206,True
LA FERME,{2283276596},48.9096771,2.4374886,True
Les Vallées,{89161291},48.91357,2.2580085,False
Villeneuve-le-Roi,{3531059276},48.7398541,2.4263833,False
ST MICHEL NOTRE DAME,{3572156993},48.8534806,2.3454363,True
HOTEL DE VILLE DE BOBIGNY,{2485365934},48.9065183,2.4439977,True
Dewoitine,{2954497389},48.7829906,2.2130125,True
COLETTE BESSON,{2799009823},48.8984864,2.3636518,True
BLUMENTHAL,{2671357389},48.9474349,2.3409067,True
Richelieu Drouot,{256897080},48.872009,2.3397571,False
Glacière,{235370184},48.8311288,2.3434842,False
Porte de Clichy,"{261611873, 3530939197}",48.893964,2.3144204,False
GARE DE BRY SUR MARNE,{195306171},48.8446359,2.5261501,True
Robert Wagner,{1724286162},48.7850087,2.1788055,True
GARE DE PUTEAUX,{318536431},48.8832604,2.2338074,True
Péreire,{243510680},48.8846696,2.2989738,False
Grands Boulevards,{256897079},48.8715206,2.3432861,False
GARE DE FONTENAY SOUS BOIS,{241929128},48.8437078,2.4637379,True
Sainte-Colombe Septveilles,{2704522219},48.5293703,3.2557676,False
